Anon Student Id,total attemps,CFA sum,CFA_Percentage,Corrects,Incorrects,Correct_Percentage
2IaH8665Ha,3270,2506,0.766360856,3769,1881,0.667079646
2J2SH6Fk63,3469,2716,0.782934563,4026,1715,0.701271555
2kb387yOiG,2392,1882,0.786789298,3324,577,0.852089208
2oNLCndtam,3400,2400,0.705882353,3849,2275,0.628510777
2rSW5fZ50h,579,439,0.7582038,641,181,0.779805353
2x0Z9q6jD0,394,261,0.662436548,457,343,0.57125
3008m5T78s,958,603,0.629436326,1110,344,0.763411279
31ApG55XoV,1359,999,0.735099338,1525,887,0.63225539
34f4oB5Cod,4076,3162,0.77576055,4822,1852,0.722505244
35F52CG565,465,387,0.832258065,513,157,0.765671642
38a8p8Zl0z,987,604,0.61195542,1167,426,0.732580038
39Uc7ru04l,5112,3295,0.644561815,7180,3389,0.679345255
3C1dH8H8v3,2382,1984,0.832913518,2732,813,0.770662906
3EWyQLUo83,177,152,0.858757062,242,35,0.873646209
3g1Pl94peh,172,146,0.848837209,177,43,0.804545455
3hSu07XfGd,4237,3588,0.846825584,4855,1192,0.80287746
3k85qY4Y2B,810,566,0.698765432,1069,624,0.631423509
3v8ytbUoc6,464,404,0.870689655,566,140,0.801699717
3Whv9UbPsR,79,51,0.64556962,72,72,0.5
40ARhM4nkF,250,199,0.796,250,106,0.702247191
41qrfb88lU,1057,836,0.790917692,1190,468,0.717732207
42FRuGgL06,165,143,0.866666667,167,41,0.802884615
443ptPwtPd,337,265,0.786350148,453,120,0.790575916
448d2Kv3hw,810,686,0.84691358,931,256,0.784330244
45euP7C062,737,593,0.804613297,873,362,0.706882591
45oTz6NVkr,292,161,0.551369863,307,74,0.805774278
45TTYcotWk,4191,2982,0.711524696,4908,2228,0.687780269
46K8Eq75fJ,246,154,0.62601626,280,152,0.648148148
46vx97eEK0,118,81,0.686440678,133,61,0.68556701
46z59pQP58,3141,2550,0.811843362,3896,947,0.804460045
49kt2kaD8d,226,197,0.871681416,237,50,0.825783972
4ajdr1a4Kc,729,556,0.762688615,861,388,0.689351481
4EUt9uDfjG,56,34,0.607142857,56,85,0.397163121
4k3099QrCN,9,8,0.888888889,9,1,0.9
4NQzySrw2C,239,161,0.673640167,240,168,0.588235294
4pzSijxuK6,5743,4250,0.740031343,6999,2876,0.708759494
4tR4H9u4Zn,178,128,0.719101124,238,143,0.624671916
4u483r4C0S,321,229,0.713395639,376,242,0.608414239
4X3016rdOZ,5544,4059,0.732142857,6262,4022,0.60890704
50r4Tfl105,30,23,0.766666667,30,10,0.75
517LN52NOL,1358,1083,0.797496318,1536,547,0.737397984
52vEY7f17k,1997,1496,0.749123686,2365,1147,0.673405467
55jl7IFg3z,769,712,0.925877763,874,88,0.908523909
562xzTNuI6,1783,1373,0.770050477,2198,1059,0.67485416
56dTCKdr74,2845,2506,0.880843585,3370,577,0.853813023
589M2uPIY4,2395,1685,0.703549061,2771,1963,0.585340093
5a5qA8VLfI,6476,4647,0.717572576,7812,5646,0.580472581
5AhC6ORULJ,1026,810,0.789473684,1146,446,0.719849246
5cuKF3lL4D,375,223,0.594666667,365,881,0.2929374
5ddRYL0LBA,167,140,0.838323353,186,42,0.815789474
5ey2xUDZTA,4632,3584,0.773747841,5189,2409,0.68294288
5g8708DBB0,82,66,0.804878049,103,43,0.705479452
5gtqSDwEt1,627,499,0.79585327,679,228,0.74862183
5LMy832c47,4508,3713,0.82364685,5149,1302,0.798170826
5Q69X4zFkC,255,195,0.764705882,286,114,0.715
5rwOvj7Gu3,716,617,0.861731844,827,256,0.763619575
5S2tY93Oo1,316,284,0.898734177,326,49,0.869333333
5SXHhHKGxC,1237,1017,0.822150364,1497,464,0.763386028
5VZLSGPT10,2796,2346,0.839055794,3230,843,0.793027253
5x5fHvFFLv,1578,1410,0.893536122,1763,319,0.84678194
5yasLi1Avt,4536,3364,0.741622575,5203,2382,0.68595913
5yM8I4Uut9,903,742,0.821705426,1033,494,0.676489849
5ZR29q8c56,1350,1076,0.797037037,1497,543,0.733823529
63r5Aj4EeB,261,212,0.812260536,290,113,0.719602978
654Dd1132b,124,71,0.572580645,130,89,0.593607306
668lBbaKFE,4333,3303,0.762289407,5187,2713,0.656582278
66Ak255E3j,2500,2149,0.8596,2904,676,0.811173184
66l1WHbu0M,42,18,0.428571429,45,50,0.473684211
68gXsA3M68,1082,841,0.777264325,1323,486,0.731343284
68xd8R3v7U,14,12,0.857142857,14,6,0.7
694Y3fju01,1687,1475,0.874333136,1893,437,0.812446352
6A16l70g5Q,2293,1956,0.853030964,2865,970,0.747066493
6Ax4SKe470,4872,3503,0.719006568,6138,2502,0.710416667
6bJ4auIa8L,4662,3401,0.72951523,6082,2529,0.706305888
6c2Im3PZdL,203,174,0.857142857,230,67,0.774410774
6d2wZ1x370,1759,1468,0.834565094,2237,644,0.776466505
6dGeA2ZpO4,12,8,0.666666667,12,3,0.8
6e1627evYc,619,551,0.890145396,713,143,0.832943925
6EjPt2xgrB,417,350,0.839328537,458,115,0.79930192
6ghrwY35fW,172,101,0.587209302,197,43,0.820833333
6GOYcFMPF2,395,279,0.706329114,496,256,0.659574468
6jCygPdswz,6228,4532,0.727681439,7598,4116,0.648625576
6Kbx2aEeUm,1068,932,0.872659176,1245,215,0.852739726
6O31vedZbI,2991,2527,0.844867937,3376,779,0.812515042
6pfp3D515O,62,27,0.435483871,131,102,0.56223176
6s8DOcciCW,187,139,0.743315508,225,91,0.712025316
6W08a98ZQV,1654,1287,0.778113664,1903,996,0.656433253
740FTSQ19O,921,743,0.806731813,1087,453,0.705844156
74ouxlq51o,250,214,0.856,321,74,0.812658228
77y7iIIXuv,4248,3170,0.746233522,5145,2338,0.687558466
78t79xOebG,4317,3637,0.842483206,4822,1269,0.791659826
7a0Ziet39H,189,140,0.740740741,219,108,0.669724771
7cEjwssz1R,1664,1426,0.856971154,2066,508,0.802641803
7d9J30iOq8,209,147,0.703349282,213,94,0.693811075
7esK30uHH1,641,515,0.803432137,725,320,0.693779904
7gJUbn9s1V,243,197,0.810699588,272,104,0.723404255
7H6yD0xNNn,623,449,0.72070626,655,300,0.685863874
7N07jFgyQJ,659,487,0.738998483,739,450,0.621530698
7o7172ufx2,677,619,0.914327917,753,98,0.884841363
7oiAa7MlW2,1372,1107,0.806851312,1493,523,0.740575397
7RB2G4NbCn,1274,988,0.775510204,1364,656,0.675247525
7rezIYMwkp,163,128,0.785276074,162,88,0.648
7rP4RofmNF,1057,711,0.672658467,1557,539,0.742843511
7tV3w3qB6t,253,184,0.727272727,268,132,0.67
7XQtQA55O7,296,225,0.760135135,310,172,0.643153527
7y5NJZ7S6u,3997,3121,0.780835627,4397,1621,0.730641409
7YX78oEdjZ,1095,767,0.700456621,1353,635,0.680583501
80nlN05JQ6,5466,4111,0.752103915,6245,2771,0.692657498
81E41tTtV9,3910,2974,0.760613811,4556,2449,0.650392577
84qYt0yA5y,1375,1007,0.732363636,1575,693,0.694444444
879eYkR2Wu,4649,3590,0.772209077,5342,1755,0.752712414
88Uhb8760x,4817,3729,0.774133278,5736,2777,0.673793022
8a0vIMw4At,470,322,0.685106383,494,586,0.457407407
8cSO1GK90W,1340,1048,0.782089552,1680,586,0.741394528
8csPxY44OZ,1780,1454,0.816853933,2021,938,0.683001014
8d194g9ccT,2328,1873,0.804553265,2732,1231,0.689376735
8eqtD31y66,524,285,0.54389313,571,478,0.544327931
8FcKH1d6A2,660,501,0.759090909,738,321,0.696883853
8fyjxTqDpQ,430,362,0.841860465,485,134,0.783521809
8gH5u019ZH,3706,3068,0.827846735,4361,1375,0.760285914
8MG4r9aMdu,282,214,0.758865248,343,146,0.701431493
8mKdvKlPOw,69,56,0.811594203,68,21,0.764044944
8o0mJnIpFH,1632,1340,0.821078431,1891,640,0.74713552
8r7mHkuKX9,355,297,0.836619718,368,92,0.8
8rsfNQdio8,4026,3313,0.822901143,4577,1375,0.768985215
8ZPoEJbXB7,3185,2414,0.757927786,3747,1788,0.67696477
90o991hXMa,1151,783,0.680278019,1241,1043,0.543345009
938jD6Z338,37,27,0.72972973,37,28,0.569230769
93YVE85s1x,835,743,0.889820359,953,179,0.841872792
9493h91NUB,2836,2235,0.788081805,3345,1364,0.710341898
971l4W5kQs,1294,1077,0.832302937,1473,548,0.728847105
9aw67h1Z47,1283,1053,0.820732658,1610,516,0.757290687
9Bj19ocQBw,426,345,0.809859155,462,163,0.7392
9EAa0nJjb1,4515,3470,0.76854928,5487,2303,0.70436457
9eV0EGVC6j,1649,1315,0.797453002,1851,975,0.654989384
9FFmzviIHD,837,636,0.759856631,1108,518,0.681426814
9hs21hUG5O,1985,1415,0.712846348,2262,1462,0.607411386
9iQ6dU8Ooj,856,665,0.776869159,976,342,0.740515933
9NY3vclR8e,5,3,0.6,5,4,0.555555556
9QD9297moO,5629,3216,0.571327056,7258,5770,0.557107768
9TvPity5px,1285,971,0.755642023,1666,749,0.689855072
9Ydzn1ubPe,1146,967,0.843804538,1330,445,0.749295775
a0Q6RZpO47,235,199,0.846808511,245,72,0.772870662
a43DzeQWut,598,492,0.822742475,670,338,0.66468254
a47O44klh3,332,216,0.65060241,375,246,0.603864734
A89Fye6g1o,462,351,0.75974026,485,153,0.760188088
ajPRq0Q08b,4918,3897,0.792395283,5875,2357,0.713678328
apCLF0uF21,2627,2270,0.86410354,3059,586,0.839231824
AQfVkV1aEx,2058,1452,0.705539359,2344,1564,0.599795292
auW9kr3fh6,808,642,0.794554455,920,384,0.705521472
Axp5cwW7T8,1373,930,0.677348871,1756,954,0.64797048
b2W4ZO3uLV,2484,1867,0.751610306,2737,1284,0.680676449
b4NIYojEYn,1076,925,0.859665428,1191,316,0.790311878
b4WRCgbjkN,1795,1207,0.672423398,2548,490,0.838709677
B5VRXIQ2Ji,361,309,0.855955679,419,116,0.78317757
B7l5Zfxxu6,1325,874,0.659622642,1860,1031,0.643375994
bcoY3s64sj,4991,3655,0.732318173,6425,3745,0.631760079
biX0v423q0,676,512,0.75739645,737,566,0.565617805
bnNE2RRUsd,168,144,0.857142857,202,42,0.827868852
Bp1ZMF9Z0G,140,107,0.764285714,164,84,0.661290323
BpYaFX7hkQ,580,435,0.75,609,485,0.556672761
bt0ZuHaCGY,5153,4027,0.781486513,5936,1828,0.764554353
bw71rBaKg5,6,5,0.833333333,6,2,0.75
C0qLCIhI0O,264,183,0.693181818,322,281,0.533996683
C18qWKq212,2959,2480,0.838120987,3226,796,0.802088513
c1zVCHxCEz,5066,4105,0.810303987,5791,1731,0.769875033
c3Ee3W8hyq,3425,2726,0.795912409,3920,1847,0.679729495
c6LS9kDJe1,173,141,0.815028902,172,57,0.751091703
c7A4cZK28M,983,772,0.785350966,1084,460,0.702072539
c8Gl35DPn4,678,541,0.797935103,729,176,0.805524862
C8Uu3Cd2YK,28,9,0.321428571,55,63,0.466101695
CaA0123UJL,1285,1049,0.816342412,1423,483,0.746589717
cbgx682J78,128,106,0.828125,125,37,0.771604938
CEA35ELhs4,512,258,0.50390625,695,241,0.742521368
cI0EPqbE61,77,61,0.792207792,76,29,0.723809524
ck0GIf31rJ,703,479,0.681365576,1002,556,0.643132221
CsX7j87xZ7,88,62,0.704545455,92,22,0.807017544
ctVOdq1wnp,464,330,0.711206897,473,350,0.57472661
cua2tdf6zb,43,36,0.837209302,43,16,0.728813559
cx5L3UEvoR,62,56,0.903225806,62,8,0.885714286
CZDz8OSRfI,3600,2970,0.825,4112,1154,0.780858336
D08sSQFrq3,718,587,0.817548747,856,256,0.769784173
D1VwdFc01t,1085,881,0.811981567,1211,394,0.754517134
D431zXkvuC,669,531,0.793721973,701,261,0.728690229
D4md1bS6DC,1263,976,0.772763262,1598,488,0.766059444
d6MRvZi66J,340,300,0.882352941,424,104,0.803030303
dc35t0IQHq,371,293,0.789757412,415,112,0.787476281
dD0vTK3gXD,278,233,0.838129496,290,107,0.730478589
dD5k5322J5,302,259,0.857615894,309,72,0.811023622
Dk2tRopWQ3,400,302,0.755,426,412,0.508353222
DkXJps09H6,668,449,0.672155689,815,386,0.678601166
Dl62lXJbK1,477,399,0.836477987,507,114,0.816425121
Dmq6441349,3147,2652,0.84270734,3605,1145,0.758947368
dN4g3pRdSO,1051,915,0.870599429,1166,236,0.831669044
doWQeQ3VZC,592,455,0.768581081,657,219,0.75
Dp4If8jfOp,34,23,0.676470588,34,20,0.62962963
dq0JPbG008,155,119,0.767741935,168,66,0.717948718
DRKr1AyP0r,28,16,0.571428571,35,46,0.432098765
Ds3B2dRQo8,1200,1021,0.850833333,1479,358,0.805117039
DS5ecUMGJi,3074,2258,0.73454782,3694,1601,0.697639282
dTIQk6Xt3r,2996,2310,0.771028037,3425,1228,0.736084247
dvG32rxRzQ,7264,6056,0.833700441,8322,2043,0.802894356
dVqVsN8nD8,792,588,0.742424242,906,1003,0.474594028
DykSLZf35a,410,338,0.824390244,578,305,0.654586636
DZXDgO0B3u,468,348,0.743589744,490,445,0.524064171
E1PaKK3181,243,200,0.823045267,260,116,0.691489362
E38It7fjg0,4182,3456,0.826398852,4970,1601,0.756353675
e5Ef9RFIF0,76,55,0.723684211,79,73,0.519736842
E5GMl7289p,270,194,0.718518519,304,95,0.761904762
e7uv9PqtYY,728,552,0.758241758,875,391,0.691153239
e95f4UtF4I,52,43,0.826923077,56,15,0.788732394
E97430334J,122,90,0.737704918,129,158,0.449477352
EaUoBdvBdC,1145,915,0.799126638,1425,525,0.730769231
eD0u9WOep7,804,647,0.804726368,859,249,0.775270758
EE579r50K3,1165,909,0.780257511,1689,905,0.651117965
EfN583275t,3617,2987,0.825822505,4081,1441,0.739043825
emTkxI1340,170,126,0.741176471,176,93,0.654275093
EpDb06UO89,55,55,1,57,0,1
eqyJr5jsoU,424,359,0.846698113,427,203,0.677777778
EV28POlwE4,3690,2706,0.733333333,4268,1987,0.682334133
EWHJMBPf94,2780,2240,0.805755396,3155,1656,0.655788817
EWo6L00OAS,502,326,0.64940239,544,681,0.444081633
Exz0X2naK1,643,512,0.796267496,700,307,0.695134062
ey9rvMnU57,2713,2319,0.854773314,3343,721,0.822588583
eZRzEYP9oJ,793,567,0.715006305,987,349,0.738772455
f1924U65I1,723,569,0.786998617,776,266,0.744721689
F25axtfCKG,1778,1437,0.808211474,2014,550,0.78549142
f45jOmRd4S,2204,1715,0.778130672,2749,1202,0.695773222
f4fNYL73Z2,1304,1017,0.779907975,1497,617,0.708136235
f9PBq9q8jq,21,13,0.619047619,21,14,0.6
F9WJ1RKM4L,456,411,0.901315789,534,123,0.812785388
FD5m13We02,267,186,0.696629213,305,207,0.595703125
Fe9oJAU48c,597,489,0.819095477,634,327,0.659729448
Fm7ESoRh9v,458,401,0.875545852,548,81,0.871224165
FrPh305pw8,1262,783,0.62044374,1430,1952,0.42282673
fTCaypQv7J,238,163,0.68487395,271,116,0.700258398
ftgrG3jT2m,1335,1023,0.766292135,1436,630,0.695062924
Fx8d98DRud,3657,2634,0.72026251,5020,2337,0.682343346
g209g5Vve6,3642,2578,0.707852828,4355,2544,0.631250906
GBp6LkJ9VA,218,159,0.729357798,241,114,0.678873239
GBwY1iQUSw,701,566,0.807417974,777,278,0.736492891
GD16TzL1x4,400,295,0.7375,436,254,0.631884058
Gg6mCdOk6I,435,369,0.848275862,504,115,0.814216478
GlZwe88Gzo,380,315,0.828947368,402,153,0.724324324
gPaagaJ8aq,3164,2229,0.70448799,3964,2145,0.648878704
gUgPjz2364,318,227,0.713836478,329,249,0.569204152
gv1l9iqcam,374,314,0.839572193,386,148,0.722846442
GVw1FC32GS,738,598,0.810298103,883,241,0.785587189
Gwk4z777oU,5437,4077,0.749862056,6366,2598,0.710174029
h0UbH181l8,5280,4126,0.781439394,6488,2806,0.698084786
h31E235Th5,80,61,0.7625,95,44,0.683453237
h4N48ldyLn,43,28,0.651162791,41,29,0.585714286
H4UD7rojkA,212,188,0.886792453,213,48,0.816091954
H5p2L3L4hU,822,618,0.751824818,895,392,0.695415695
h9Tx9ulI5Q,1069,765,0.715622077,1205,461,0.723289316
Hd9GW3f95j,4452,3325,0.746855346,5050,2240,0.692729767
hgivhSMgnH,129,92,0.713178295,135,115,0.54
hK3QE3xOF8,42,33,0.785714286,48,20,0.705882353
HOjPAm59jv,133,125,0.939849624,171,21,0.890625
hqew2E2l61,944,712,0.754237288,1041,547,0.655541562
HujcxU5LVb,409,296,0.723716381,455,350,0.565217391
HvghFVBS5v,4231,3269,0.772630584,4930,2090,0.702279202
hwF4tyWU50,2720,2441,0.897426471,3096,563,0.846132823
i0FfLG15di,593,515,0.86846543,679,182,0.788617886
i1pw14pRDH,594,473,0.796296296,648,282,0.696774194
i5dD6Xy8jL,762,654,0.858267717,843,296,0.740122915
i5Y9A05Ph8,880,752,0.854545455,1006,316,0.76096823
i8f2gg51r5,7000,5458,0.779714286,8233,4542,0.64446184
IIP2AV0W1Y,247,189,0.765182186,250,81,0.755287009
Ij894m7u4j,226,172,0.761061947,237,99,0.705357143
IQ98biy227,6138,5097,0.830400782,6976,2161,0.76348911
IQQo3367x0,25,12,0.48,24,9,0.727272727
iyLqACAFyl,2446,2067,0.845053148,2817,757,0.788192501
j09c45Q1NN,5,2,0.4,5,6,0.454545455
j0D7C5VG29,530,449,0.847169811,629,165,0.792191436
J76B3lyQG9,501,440,0.878243513,567,132,0.811158798
jbw83hRJZQ,122,105,0.860655738,121,28,0.812080537
jdT9cZAxyb,1164,901,0.774054983,1354,648,0.676323676
JL3J46dUrn,543,404,0.744014733,699,239,0.745202559
JP20cryBg8,60,44,0.733333333,59,25,0.702380952
jR1rpwLHNu,1620,1100,0.679012346,1741,1167,0.59869326
JrJt3mY6Ls,184,107,0.581521739,181,250,0.419953596
JU5Ms0pxvu,1074,910,0.847299814,1219,345,0.779411765
jw3jOU9C8I,593,526,0.887015177,657,123,0.842307692
jx1ndu85oq,894,770,0.861297539,1075,287,0.78928047
jXc985G8qy,815,601,0.737423313,1197,334,0.781841933
jxlpSn00qm,12,2,0.166666667,11,8,0.578947368
k37lfl6ENf,120,90,0.75,170,102,0.625
k3jBd30ocz,2001,1239,0.619190405,2249,705,0.761340555
K46aEi2Oi7,384,291,0.7578125,405,275,0.595588235
k4gaj1r2bT,1242,1019,0.820450886,1418,482,0.746315789
K4IIshw37g,1126,887,0.787744227,1388,432,0.762637363
k71nQKqIB3,20,17,0.85,26,8,0.764705882
K8b2FfNFdp,1416,1170,0.826271186,1600,493,0.764452938
kh6j72S63h,533,374,0.701688555,602,526,0.533687943
KiDu7A3iD8,851,571,0.670975323,941,721,0.566185319
kKr8NG7YNL,693,621,0.896103896,745,140,0.84180791
Kt1mv62gCP,1439,1168,0.811674774,1721,404,0.809882353
l0KpN7IKom,70,54,0.771428571,75,20,0.789473684
l1L9ZwV1KO,664,419,0.631024096,991,727,0.576833527
L24St09aez,31,25,0.806451613,33,8,0.804878049
l5eh0S53tB,10085,6962,0.690332176,12298,7348,0.625979843
l8bH01vT7z,1883,1446,0.767923526,2166,1173,0.648697215
l8kuAhlIWI,1243,929,0.747385358,1370,582,0.701844262
LIXD5c0lE5,9,5,0.555555556,9,7,0.5625
LjgZcY49TV,1174,986,0.839863714,1398,447,0.757723577
ljX78ko847,851,710,0.834312573,960,266,0.783034258
lKsX609E6x,838,669,0.798329356,1008,358,0.737920937
LM96hW22T2,5785,1998,0.345375972,7326,4083,0.642124638
LmiEiGqx5x,1028,773,0.751945525,1176,570,0.673539519
LnVZmUuwc8,3026,2286,0.755452743,3374,1560,0.68382651
LP15lX652E,4301,3382,0.786328761,5141,2109,0.709103448
LQDsuDw2tX,199,174,0.874371859,198,43,0.821576763
LQm0n9F5e0,167,118,0.706586826,175,115,0.603448276
lY4W105RGi,325,215,0.661538462,347,355,0.494301994
m58s5oOZCm,2487,1854,0.745476478,2923,1524,0.657297054
m5MmtPWHdr,123,102,0.829268293,120,32,0.789473684
m64Rgy40OF,4052,2976,0.734452122,4654,2508,0.649818486
M7hLaVJGvX,3124,2359,0.755121639,3717,1805,0.673125679
m9a501e1MM,1229,1050,0.854353133,1367,390,0.778030734
MCA1W52H2T,1238,1070,0.864297254,1447,335,0.812008979
merKN5i5Of,232,171,0.737068966,326,101,0.763466042
Mhc6xUn6X1,303,223,0.735973597,295,184,0.615866388
mI0bEZaepz,961,744,0.774193548,1087,525,0.674317618
MMecgbY11h,136,115,0.845588235,175,53,0.76754386
mNzo8mGzu9,2605,2306,0.885220729,2969,519,0.851204128
MPqJdqnPtc,4059,3272,0.806109879,4686,1737,0.729565624
MrZ99Q697y,1516,1212,0.799472296,1692,728,0.699173554
mt4GxUF641,411,360,0.875912409,429,94,0.820267686
N18G8VLF9v,378,283,0.748677249,428,279,0.605374823
N1K15JE4tN,60,47,0.783333333,70,21,0.769230769
N4Ab8Bvj98,319,251,0.786833856,331,159,0.675510204
N6wWxh9CL4,1111,869,0.782178218,1336,513,0.722552731
nA15DeLBE1,128,121,0.9453125,142,8,0.946666667
NnA4UfdJ5k,355,238,0.670422535,408,219,0.650717703
nOkrXE4gnk,152,129,0.848684211,196,59,0.768627451
NX8N2fJ630,606,511,0.843234323,694,164,0.808857809
nxe3l4KD0z,1363,800,0.586940572,1511,609,0.712735849
nybp7zY98z,450,355,0.788888889,480,183,0.7239819
NZJd9Aq3De,118,83,0.703389831,113,80,0.585492228
o0Q2M0X487,26,16,0.615384615,32,20,0.615384615
o2mSq0vQ50,350,290,0.828571429,383,154,0.713221601
O46hm6g2nf,588,383,0.651360544,767,552,0.581501137
O4PQ25r2dR,495,446,0.901010101,539,71,0.883606557
O4YDV4XPTd,311,206,0.662379421,295,439,0.401907357
OCmTg4ha6w,1078,567,0.525974026,1258,507,0.712747875
odPTXtfS78,3602,2581,0.716546363,4266,2346,0.645190563
oEt3YTvS4G,1470,1272,0.865306122,1644,349,0.824887105
oeTCjHG37z,202,181,0.896039604,264,47,0.848874598
olyVui8lHe,188,164,0.872340426,188,33,0.850678733
On0ILT6rt5,132,114,0.863636364,139,29,0.827380952
OPv5PP9Bi4,1385,1148,0.828880866,1480,503,0.746343923
OPY2Zd6SNl,126,102,0.80952381,127,73,0.635
oqL48822V2,232,201,0.86637931,243,104,0.700288184
OS2vxzjz6W,5208,3113,0.597734255,6652,4321,0.606215256
oSV25Eb2y9,107,85,0.794392523,108,36,0.75
OW11c44gy1,607,332,0.546952224,767,301,0.718164794
oWh48s12mR,636,509,0.800314465,808,341,0.703220191
oXgtQylYoP,520,416,0.8,564,152,0.787709497
p5CPTG2423,259,130,0.501930502,394,406,0.4925
P5t2zh16z0,1275,1029,0.807058824,1481,361,0.804017372
P5w9xdB3VM,500,389,0.778,523,219,0.704851752
PE6x6PxZ42,5540,4483,0.809205776,6397,2518,0.717554683
pg8uPBYamG,529,433,0.81852552,547,226,0.7076326
pgHmAyjLe1,520,353,0.678846154,573,465,0.552023121
PhzyUqi1yE,307,229,0.745928339,349,234,0.598627787
pI9Tpj13ty,1550,1221,0.787741935,1781,1222,0.593073593
PpTLi2Qz8E,3184,2544,0.798994975,3565,1404,0.717448179
PrH19Z5q87,560,425,0.758928571,622,317,0.662406816
PRr0oy2KyT,587,478,0.814310051,649,219,0.747695853
PSEDQ6XC7U,477,392,0.821802935,511,170,0.750367107
PUH9Se529L,535,389,0.727102804,595,479,0.554003724
PUu32klgfP,733,542,0.739427012,815,326,0.714285714
pVG9cgOpCR,211,161,0.763033175,214,108,0.664596273
pXs7s2k8Jv,54,23,0.425925926,80,105,0.432432432
Q0Fp6Da7G1,601,551,0.916805324,661,95,0.874338624
q1Yar3mIhE,215,165,0.76744186,212,141,0.600566572
q9Pk62y29S,169,115,0.680473373,310,208,0.598455598
Qb2LYvN3zF,502,418,0.832669323,586,367,0.614900315
QDsPNlZ5i1,347,299,0.86167147,376,126,0.749003984
QER9PsCgBT,2731,2252,0.824606371,3088,927,0.769115816
QjpdTxl6ce,171,151,0.883040936,175,73,0.705645161
qkmLNnC7YU,251,190,0.756972112,338,216,0.610108303
qL6HDg57R9,5085,3418,0.672173058,5808,4448,0.566302652
qN6WN7C097,325,259,0.796923077,335,86,0.795724466
QQTAp3k3UP,1358,1090,0.802650957,1480,515,0.741854637
QS4cvQ8w0o,4577,3458,0.755516714,5167,2597,0.66550747
QUcO70Q91P,878,759,0.864464692,1035,308,0.770662695
qvGwtJZv09,427,325,0.761124122,508,115,0.81540931
Qwq8d0du28,8223,6152,0.748145446,9804,3576,0.732735426
R398qG76GC,762,540,0.708661417,1108,486,0.69510665
R440Y09vu3,1078,881,0.817254174,1245,446,0.736250739
R62GeR4qce,787,649,0.824650572,867,321,0.72979798
rA9d62o2bb,1371,972,0.708971554,1722,915,0.65301479
RajLsf9Q1z,665,445,0.669172932,771,359,0.682300885
